1481652195.000000, 1481652195.000000, 1481652195.000000
32.000000, 32.000000, 32.000000
16,60,10
15,61,10
15,61,10
15,61,10
14,61,11
14,61,11
15,61,11
14,61,11
14,61,11
15,61,11
15,61,11
15,61,10
15,61,11
15,61,10
15,60,10
15,61,11
16,61,10
16,60,11
16,60,11
16,60,11
16,60,11
16,61,11
16,62,11
16,62,11
16,61,11
15,60,11
15,60,11
15,61,10
15,61,10
15,61,10
15,61,10
15,61,10
15,61,10
16,61,10
16,61,11
16,61,10
17,61,11
17,61,10
16,61,10
16,61,10
17,60,10
16,60,10
16,60,10
16,60,10
16,60,10
16,61,10
16,61,10
16,61,10
16,61,10
16,61,10
17,60,10
17,61,10
16,60,10
16,60,10
16,60,10
16,60,10
16,61,10
16,62,10
17,64,11
15,61,11
15,60,11
14,59,10
15,58,10
16,59,8
17,60,9
17,62,9
19,63,10
19,62,10
18,62,11
16,60,11
15,59,10
14,60,9
15,61,10
15,61,10
15,62,10
14,61,11
15,59,12
15,59,12
16,59,12
18,59,12
18,60,11
18,60,10
19,61,10
19,60,10
18,60,9
18,60,10
18,60,10
17,61,10
17,61,10
17,61,10
16,60,11
16,61,10
15,61,10
15,60,10
15,60,10
15,60,11
15,61,10
16,61,10
16,60,11
16,60,11
16,61,11
17,61,11
17,60,11
18,59,11
18,59,11
19,60,11
19,61,11
17,62,10
17,62,10
15,61,10
15,59,10
17,58,11
17,59,11
17,62,10
16,62,10
16,62,10
16,59,10
17,58,11
18,60,11
18,60,11
18,61,10
17,61,10
17,60,10
16,59,10
17,60,11
17,60,11
17,61,11
17,61,10
16,61,11
16,60,11
16,60,11
17,60,10
17,60,10
17,60,10
17,60,10
17,61,10
17,60,10
17,60,10
17,60,11
17,60,11
17,60,10
17,60,10
17,60,10
16,60,10
16,60,10
16,60,10
16,61,10
16,60,11
17,61,11
17,60,11
17,60,11
18,60,10
17,60,10
16,60,10
16,60,9
16,61,10
16,60,10
16,60,11
16,60,11
16,60,11
16,60,10
16,61,10
16,63,9
16,60,10
15,61,11
15,60,10
18,59,11
18,60,11
18,61,10
19,61,10
18,60,9
17,58,9
17,59,8
18,59,8
18,60,8
19,61,9
19,61,9
19,61,9
18,60,9
18,59,9
18,60,9
17,62,9
17,62,8
16,62,9
16,61,9
16,61,8
16,61,8
15,61,8
16,61,8
16,62,9
17,62,9
16,61,10
16,60,10
16,59,10
15,60,9
16,58,9
17,58,9
17,58,9
17,58,9
17,59,8
17,61,8
17,63,8
18,64,8
18,63,8
18,62,8
18,62,9
16,62,9
16,62,9
15,62,9
15,61,10
15,61,10
15,60,10
16,59,10
17,60,10
17,60,9
17,60,8
18,60,9
18,60,9
18,60,9
18,60,8
18,61,7
17,61,7
17,60,7
17,60,7
17,60,7
17,60,8
17,60,8
17,61,9
17,61,9
17,61,10
17,61,10
17,61,9
17,60,9
17,60,9
18,59,9
18,60,9
17,63,8
17,62,8
17,60,8
16,60,8
16,60,8
16,60,9
16,61,9
16,60,10
17,60,10
17,60,9
17,61,9
17,61,9
17,61,9
17,60,9
17,61,10
17,61,11
17,60,11
17,59,12
16,61,13
17,60,13
16,56,13
15,60,13
13,64,12
13,63,11
15,58,10
17,57,10
18,59,7
19,60,6
21,57,7
19,51,6
19,56,6
18,68,5
18,67,4
21,61,5
